"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
11,"je travaille seul","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1989","Windows","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","rarement","parfois","parfois","jamais","jamais","jamais","jamais","jamais","parfois","souvent","jamais","souvent","jamais","jamais","jamais","souvent","rarement","jamais","jamais","jamais","parfois","par des collègues, des amis;en cherchant par moi-même","souvent","parfois","jamais","jamais","jamais","jamais","50%","rarement","oui",,,"non","souvent","jamais","jamais","souvent","jamais","souvent","jamais","jamais","Excel, Word, endnote, Statview","des logiciels payants","jamais",,"jamais",,"parfois","Excel, PowerPoint","jamais","toujours","jamais","jamais","jamais","jamais","jamais","parfois","jamais","jamais","Excel","parfois","souvent","rarement","jamais","rarement","jamais","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","jamais","jamais","rarement","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","parfois","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...)","oui","oui","oui","non","non","non","oui si les personnes sont de confiance","peu car je suis en finn de carrière","une femme","Médecine","61 à 65 ans"
12,"nous sommes entre 21 et 50 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","en CDI",,"2009","Windows","toujours","parfois","toujours","jamais","toujours","rarement","souvent","jamais","toujours","souvent","toujours","jamais","toujours","rarement","souvent","jamais","toujours","parfois","toujours","jamais","jamais","jamais","souvent","toujours","jamais","jamais","jamais","parfois","jamais","par des collègues, des amis;en cherchant par moi-même","toujours","toujours","souvent","rarement","jamais","jamais","1 Go","jamais","oui","Interne","procédure interne","non","jamais","jamais","jamais","toujours","toujours","jamais","jamais","jamais","eCRF (ennov Clinisight)
Survey Monkey","des logiciels payants","toujours","SAS","toujours","SAS","souvent","MS Office","jamais","toujours","parfois","jamais","jamais","jamais","jamais","toujours","souvent","parfois",,"parfois","toujours","jamais","parfois","jamais","parfois","parfois","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges);diffusion en accès libre (choix personnel)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","jamais","jamais","souvent","jamais","parfois","souvent","jamais","jamais","jamais","jamais","jamais","toujours","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","oui","non","Oui",,"une femme","Médecine","41 à 45 ans"
13,"nous sommes entre 2 et 5 personnes","ingénieur / ingénieure de recherche","en CDI",,"2010","Windows;Linux","jamais","rarement","parfois","jamais","jamais","jamais","jamais","jamais","souvent","parfois","parfois","jamais","jamais","jamais","jamais","jamais","souvent","toujours","rarement","souvent","rarement","jamais","rarement","parfois","jamais","jamais","jamais","rarement","jamais","par des collègues, des amis;par mon institution, mon entreprise","toujours","souvent","souvent","rarement","souvent","jamais","200 gb","parfois","oui","Institution","Institution","non","souvent","jamais","rarement","rarement","toujours","parfois","jamais","rarement","1. matlab (https://fr.mathworks.com), 
2. SPM (https://www.fil.ion.ucl.ac.uk/spm/), 
3. FSL (https://fsl.fmrib.ox.ac.uk/fsl/fslwiki)
4. Presentation (https://www.neurobs.com/menu_presentation/menu_features/features_overview)","des logiciels libres et gratuits;des logiciels payants","jamais",,"jamais",,"souvent","window explorer
SPM
FSL","jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","parfois","parfois","matlab, power point, inkscape, paint.net","parfois","toujours","jamais","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","jamais","rarement","jamais","souvent","jamais","jamais","parfois","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","parfois","jamais","parfois","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","sans doute, en fonction des besoins de mes collaborateurs.","un homme","Médecine","36 à 40 ans"
14,"nous sommes entre 21 et 50 personnes","ingénieur / ingénieure de recherche","en CDI",,"2005","Windows","rarement","rarement","souvent","jamais","jamais","jamais","jamais","jamais","souvent","souvent","souvent","jamais","jamais","jamais","jamais","jamais","souvent","parfois","souvent","souvent","jamais","jamais","parfois","parfois","rarement","jamais","jamais","jamais","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","toujours","rarement","jamais","jamais","jamais","jamais","Je ne comprends pas ce quel type de réponse est attendue","rarement","oui","L'archivage a lieu au sein de mon institution","Institution","non","jamais","souvent","souvent","parfois","toujours","souvent","jamais","jamais","R, SAS","des logiciels libres et gratuits;des logiciels payants","toujours","R","toujours","SAS, R","toujours","SAS, R","jamais","toujours","jamais","souvent","jamais","jamais","jamais","souvent","jamais","jamais","R","souvent","souvent","rarement","rarement","jamais","parfois","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","non, je ne sais pas ce que c'est",,"oui","oui","non","non","non","non",,,"un homme","Médecine","36 à 40 ans"
15,"nous sommes entre 6 et 10 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2001","MacOS","parfois","parfois","souvent","jamais","toujours","jamais","souvent","jamais","souvent","souvent","souvent","jamais","toujours","parfois","souvent","parfois","souvent","toujours","parfois","parfois","jamais","jamais","souvent","toujours","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise","souvent","souvent","souvent","parfois","jamais","jamais","2500","parfois","oui","institution","Institution","non","toujours","souvent","souvent","souvent","souvent","rarement","jamais","parfois","glims
bionumerics
spaserver","des logiciels internes à mon organisation;des logiciels payants;des logiciels libres et gratuits","jamais",,"souvent","bionumerics","parfois","bionumerics","jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","rarement","jamais","bionumerics, SPSS, prism","souvent","souvent","rarement","parfois","parfois","rarement","jamais","rarement","jamais","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation","jamais","parfois","jamais","jamais","jamais","jamais","souvent","jamais","oui","oui","oui","oui","non","non","oui","non","oui","jamais","jamais","souvent","souvent","jamais","souvent","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","non","non","oui","il est important de vulgariser sa recherche pour éviter que des informations mal comprises soient reprises et diffusées hors contexte donc oui mes pratiques vont évoluer","une femme","Médecine","46 à 50 ans"
16,"je travaille seul","ingénieur / ingénieure de recherche","fonctionnaire ou assimilé",,"2000","Windows","rarement","rarement","parfois","jamais","jamais","jamais","jamais","rarement","jamais","souvent","rarement","jamais","jamais","jamais","jamais","rarement","jamais","souvent","souvent","jamais","jamais","jamais","rarement","rarement","souvent","jamais","jamais","jamais","rarement","par des collègues, des amis;en cherchant par moi-même","jamais","toujours","parfois","jamais","jamais","jamais","impossible de chiffrer","parfois","non",,,"non","jamais","jamais","jamais","souvent","jamais","toujours","jamais","jamais","traitement de texte","des logiciels payants","jamais",,"jamais",,"jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","aucun","souvent","souvent","souvent","souvent","parfois","jamais","jamais","souvent","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","rarement","jamais","rarement","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","non","non","non","non","non","non",,"une femme","Sciences humaines","51 à 55 ans"
17,"je travaille seul","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1999","autres OS (Android...)","parfois","parfois","jamais","jamais","parfois","jamais","jamais","jamais","jamais","parfois","jamais","jamais","souvent","jamais","jamais","jamais","jamais","souvent","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise","souvent","souvent","souvent","rarement","jamais","jamais","30 %","parfois","non",,,"non","parfois","souvent","souvent","souvent","jamais","parfois","parfois","rarement","Mysql, Office, SHADES ( specific software)","des logiciels payants;des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires","jamais",,"jamais",,"jamais",,"parfois","souvent","rarement","jamais","jamais","jamais","jamais","jamais","souvent","jamais","Office","souvent","souvent","parfois","souvent","jamais","jamais","jamais","souvent","jamais","jamais","jamais","diffusion en accès libre (choix personnel);notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","rarement","rarement","rarement","rarement","rarement","oui","oui","non","oui","non","non","non","non","non","rarement","jamais","jamais","parfois","souvent","jamais","jamais","parfois","jamais","jamais","jamais","jamais","souvent","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","non","oui","yes","yes with collaborative media","un homme","Sciences humaines","56 à 60 ans"
18,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1980","Windows","souvent","parfois","souvent","jamais","rarement","jamais","toujours","rarement","souvent","toujours","souvent","jamais","rarement","jamais","toujours","rarement","souvent","toujours","souvent","souvent","jamais","jamais","toujours","toujours","toujours","jamais","jamais","souvent","rarement","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation;par une veille sur ces questions;en cherchant par moi-même","souvent","toujours","toujours","souvent","toujours","rarement","plusieurs To","parfois","oui","Baie de stockage labo et HumaNum","Huma-Num;mon laboratoire/équipe de recherche","non","souvent","souvent","souvent","souvent","souvent","souvent","souvent","parfois","1-TIVMI, 2-Avizo","des logiciels créés à cette fin (seul ou avec des collègues);des logiciels payants","jamais",,"parfois","R","toujours","TIVMI Avizo","rarement","toujours","rarement","jamais","jamais","jamais","jamais","souvent","toujours","rarement","Gimp","toujours","toujours","parfois","souvent","souvent","parfois","jamais","souvent","rarement","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;transparence du processus d'évaluation;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","jamais","jamais","jamais","parfois","rarement","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","souvent","jamais","souvent","souvent","jamais","souvent","jamais","parfois","jamais","jamais","parfois","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Oui, tout à fait","Oui, évolution vers la science ouverte en termes de publications et de mise à disposition de la production scientifique","une femme","Sciences du vivant","61 à 65 ans"
19,"nous sommes entre 2 et 5 personnes","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","travailleur indépendant",,"2006","MacOS","rarement","souvent","parfois","jamais","souvent","jamais","parfois","parfois","jamais","souvent","parfois","jamais","parfois","jamais","rarement","jamais","jamais","parfois","souvent","rarement","jamais","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise","rarement","toujours","parfois","parfois","jamais","jamais","Importante mais moins que les données empiriques (pas très claire la question ou trop large...)","rarement","non",,,"non","souvent","jamais","jamais","rarement","parfois","toujours","parfois","rarement","Soft Concept 
EnVivo","des logiciels issus d'un projet de recherche;des logiciels payants","jamais",,"jamais",,"parfois","Soft Concept","jamais","toujours","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","word","souvent","parfois","parfois","souvent","souvent","parfois","rarement","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (choix personnel)","jamais","jamais","jamais","jamais","jamais","rarement","jamais","jamais","non","non","non","non","non","non","oui","non","non","souvent","jamais","parfois","jamais","parfois","parfois","jamais","jamais","parfois","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","oui","Oui, tout à fait. Voire cela met encore plus en valeur le travail d'articulation/production de la pensée.","Probablement mais plus j'avance, plus mon expérience montre bien que les outils facilitent parfois mais que je n'avance/produit jamais aussi bien qu'en étant avec mes collègues à échanger (en présentiel et distanciel) sur les données recueillies empiriquement. Les logiciels donnent à voir des choses et éclairent parfois autrement mais j'ai toujours autant besoin de personnes en face pour réagir/débattre, c'est toujours avec des personnes qu'émergent les fils conducteurs, les hypothèses, la compréhension","un homme","Sciences sociales","41 à 45 ans"
20,"nous sommes entre 2 et 5 personnes","directeur / directrice de recherche (CNRS, INSERM, INRAE, CNES...)","fonctionnaire ou assimilé",,"1974","Windows","souvent","parfois","parfois","jamais","jamais","jamais","rarement","jamais","rarement","parfois","parfois","jamais","jamais","jamais","rarement","jamais","rarement","souvent","toujours","toujours","jamais","jamais","toujours","souvent","toujours","jamais","jamais","souvent","souvent","par mon institution, mon entreprise;en cherchant par moi-même","rarement","toujours","toujours","rarement","rarement","rarement","je ne sais pas","souvent","oui",,,"non","souvent","souvent","jamais","toujours","parfois","toujours","rarement","parfois","Word
Photoshop
Adobe","des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels libres et gratuits;des logiciels version d'essai ou démo","rarement",,"rarement",,"parfois",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","rarement","rarement","jamais","Photoshop","toujours","toujours","toujours","toujours","toujours","rarement","rarement","souvent","rarement","jamais","rarement","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);diffusion en accès libre (choix personnel);frais de publications (Article Processing Charges)","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","parfois","jamais","toujours","rarement","rarement","toujours","rarement","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui","Je ne sais pas","une femme","Sciences du vivant","66 ans et plus"
21,"je travaille seul","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1982","Windows;MacOS","rarement","parfois","souvent","jamais","jamais","parfois","souvent","jamais","parfois","souvent","souvent","jamais","jamais","parfois","jamais","jamais","parfois","souvent","souvent","souvent","jamais","jamais","parfois","parfois","souvent","rarement","rarement","jamais","souvent","par des collègues, des amis;au cours d'une formation;en cherchant par moi-même","toujours","toujours","parfois","rarement","jamais","jamais","Extrêmement variable en fonction du sujet","souvent","oui","Conservation personnelle","conservation personnelle","non","jamais","jamais","jamais","toujours","jamais","toujours","jamais","jamais","Word, Excel","des logiciels libres et gratuits;des logiciels gratuits avec des fonctionnalités premium","jamais",,"jamais",,"jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","parfois","toujours","parfois","vide supra","souvent","souvent","parfois","souvent","parfois","parfois","rarement","souvent","rarement","rarement","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;transparence du processus d'évaluation;refus des revues prédatrices","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","oui","non","non","non","non","non","oui","non","non","jamais","jamais","jamais","souvent","jamais","parfois","souvent","jamais","jamais","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","non","non","Les deux approches ne sont que rarement compatibles","Probablement, mais l'outil ne devra jamais brider la créativité personnelle","un homme","Sciences humaines","66 ans et plus"
22,"nous sommes entre 6 et 10 personnes","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","en CDI",,"2015","Windows;MacOS","rarement","parfois","rarement","jamais","souvent","souvent","souvent","parfois","toujours","parfois","rarement","jamais","souvent","souvent","parfois","parfois","toujours","parfois","souvent","souvent","jamais","rarement","souvent","souvent","souvent","jamais","jamais","rarement","parfois","en cherchant par moi-même","souvent","toujours","toujours","jamais","parfois","jamais","60% à 100%","souvent","oui","Société","prestataire externe","non","toujours","toujours","toujours","toujours","toujours","toujours","rarement","toujours","Suite Adobe
Qgis","des logiciels payants;des logiciels libres et gratuits","parfois","Adobe bridge","parfois","SIG","souvent","Sig","toujours","toujours","rarement","jamais","jamais","jamais","jamais","toujours","souvent","parfois","DAO
SIG","toujours","toujours","rarement","parfois","parfois","rarement","souvent","rarement","rarement","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);diffusion en accès libre (choix personnel)","rarement","jamais","jamais","parfois","parfois","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","toujours","jamais","rarement","jamais","toujours","souvent","jamais","jamais","jamais","jamais","jamais","parfois","jamais","oui, parfaitement","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui","Certainement. Vers un focus plus pointu je l'open access","une femme","Sciences humaines","36 à 40 ans"
23,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","fonctionnaire ou assimilé",,"2020","Windows;Linux","jamais","rarement","souvent","jamais","jamais","rarement","toujours","parfois","toujours","souvent","souvent","jamais","jamais","rarement","toujours","parfois","toujours","rarement","rarement","souvent","jamais","jamais","rarement","souvent","parfois","jamais","jamais","toujours","jamais","en cherchant par moi-même","toujours","rarement","jamais","jamais","jamais","parfois","milliers","jamais","non",,,"non","souvent","souvent","parfois","rarement","rarement","souvent","jamais","souvent","Excel ...
RedCap
R (stat)","des logiciels libres et gratuits;des logiciels créés à cette fin (seul ou avec des collègues);des logiciels issus d'un projet de recherche;des logiciels payants;des logiciels payants ""crackés""","toujours","R (et Tidyverse, Dplyr ...)","toujours","R
Excel parfois
Avant des logiciels de stats (medcalc, spss, etc ...)","toujours","R","rarement","toujours","rarement","jamais","parfois","jamais","jamais","toujours","toujours","jamais","R en général","parfois","toujours","rarement","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;frais de publications (Article Processing Charges)","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","oui","non","non","non","oui","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","oui, j'en ai entendu parler","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","une fois la publication acceptée et publiée seulement","mise à disposition des données sources
publication des protocoles avant inclusions des patients","un homme","Médecine","31 à 35 ans"
